nome_canal,perfil_canal,pais,inscritos,avg_views,avg_likes,avg_comments
Total Gaming,Total Gaming,India,33500000,1200000.0,127400.0,6300.0
ARY Digital HD,ARY Digital HD,Pakistan,33500000,10400.0,121.0,6.0
ABP NEWS,abpnewstv,India,33500000,3500.0,43.0,4.0
Desi Music Factory,Desi Music Factory,India,33200000,3200000.0,4400.0,2500.0
Ultra Bollywood,UltraHindi,India,33100000,24900.0,217.0,9.0
Sony PAL,sonypalindia,India,33100000,9100.0,104.0,8.0
Geet MP3,Geet MP3,India,33100000,341800.0,22800.0,1200.0
NoCopyrightSounds,NoCopyrightSounds,United States,32900000,362500.0,15600.0,1200.0
Ryan's World,Ryan's World,,32900000,826900.0,4100.0,0.0
HAR PAL GEO,harpalgeo,Pakistan,32799999,5000.0,44.0,2.0
SSSniperWolf,SSSniperWolf,United States,32700000,3900000.0,107200.0,6900.0
T-Series Apna Punjab,tseriesapnapunjab,India,32600000,30000.0,1600.0,31.0
IndiaTV,IndiaTV,India,32400000,8600.0,134.0,12.0
KHANDESHI MOVIES,KHANDESHI MOVIES,India,32299999,4500000.0,36700.0,579.0
La Granja de Zenón,cancionesdelagranja,,31800000,668200.0,2900.0,0.0
GENIAL,GENIAL,Mexico,31500000,51500.0,1800.0,68.0
Eros Now Music,erosentertainment,India,31200000,20500.0,552.0,22.0
Galinha Pintadinha,juptube,,31100000,21700000.0,64900.0,0.0
Bollywood Classics,tseriesoldisgold,India,31000000,30700.0,547.0,28.0
Luis Fonsi,Luis Fonsi,United States,31000000,34800.0,3100.0,69.0
SMTOWN,SMTOWN,United States,31000000,326000.0,51400.0,1600.0
Selena Gomez,SelGomez,United States,30900000,347900.0,38600.0,796.0
Mr Bean,MrBean,India,30800000,191100.0,2700.0,80.0
Rajshri,rajshri,India,30600000,18500.0,145.0,8.0
Ricis Official,Ricis Official,Indonesia,30600000,621600.0,27300.0,789.0
Trap Nation,AllTrapNation,United States,30400000,74900.0,2600.0,96.0
DisneyMusicVEVO,DisneyMusicVEVO,United States,30300000,295200.0,6100.0,393.0
The Tonight Show Starring Jimmy Fallon,latenight,United States,30200000,166500.0,5600.0,171.0
Saregama Music,SongsOfIndianCinema,India,30100000,26600.0,967.0,11.0
AH,AH,Indonesia,30000000,831500.0,37300.0,2600.0
Spinnin' Records,SpinninRec,United States,29800000,56000.0,2600.0,74.0
rezendeevil,rezendeevil,Brazil,29600000,293400.0,28500.0,742.0
BabyBus - Kids Songs and Cartoons,BabyBus - Kids Songs and Cartoons,,29600000,792600.0,4500.0,0.0
The Weeknd,xoxxxoooxo,United States,29500000,652500.0,50100.0,2400.0
Jingle Toons,Jingle Toons,India,29100000,82500.0,830.0,10.0
PowerKids TV,PowerKids,India,29100000,83500.0,0.0,0.0
Worldwide Records Bhojpuri,WWRBhojpuri,India,29000000,85500.0,2300.0,103.0
ImagineDragons,ImagineDragons,United States,28800000,133500.0,13700.0,151.0
