nome_canal,perfil_canal,inscritos,pais,avg_views,avg_likes,avg_comments
Masha e o Urso,Masha e o Urso,17700000,,321000.0,2100.0,0.0
officialpsy,officialpsy,17700000,United States,102400.0,8500.0,478.0
SUPER SLICK SLIME SAM,SUPER SLICK SLIME SAM,17600000,Mexico,191200.0,6400.0,116.0
RobleisIUTU,RobleisIUTU,17600000,Argentina,733600.0,53900.0,1300.0
grammygoldofficia,Grammy Gold Official,17600000,Thailand,10100.0,396.0,10.0
portadosfundos,Porta dos Fundos,17600000,Brazil,765100.0,70200.0,966.0
aMOODIEsqueezie,SQUEEZIE,17600000,France,5500000.0,429600.0,5500.0
FactTechz,FactTechz,17500000,India,518100.0,45300.0,1800.0
monstafluffmusicTV,7clouds,17500000,United States,207200.0,3600.0,163.0
SOMOY TV,SOMOY TV,17400000,Bangladesh,6400.0,157.0,11.0
ArabGamesNetwork,شبكة العاب العرب | Arab Games Network,17400000,Algeria,178000.0,18800.0,806.0
Stubborn Facts,Stubborn Facts,17300000,India,106600.0,4400.0,124.0
Sidemen,Sidemen,17200000,United Kingdom,9700000.0,583700.0,17500.0
Willyrex,Willyrex,17200000,Mexico,60700.0,5900.0,30.0
Goldmines Great Indian Comedy,Goldmines Great Indian Comedy,17200000,India,8200.0,102.0,4.0
Triggered Insaan,Triggered Insaan,17100000,India,5800000.0,550800.0,19300.0
Jane ASMR 제인,Jane ASMR 제인,17100000,Indonesia,297300.0,4500.0,201.0
Dhar Mann,Dhar Mann,17100000,United States,4600000.0,87000.0,4100.0
iberethenorio,Manual do Mundo,17000000,Brazil,523100.0,58600.0,653.0
indiancomedy,Shemaroo Comedy,17000000,India,40300.0,541.0,12.0
musicalrmastv,الـريماس - Al-Remas,17000000,Iraq,80400.0,2500.0,235.0
IGNentertainment,IGN,17000000,United States,49000.0,1200.0,150.0
JasonDerulo,Jason Derulo,17000000,United States,54500.0,2900.0,44.0
aynakoitsroi,Guava Juice,17000000,United States,94800.0,2000.0,305.0
Daniel LaBelle,Daniel LaBelle,16900000,United States,17100000.0,725100.0,1100.0
rkddigital,RKD Studios,16800000,India,77200.0,1900.0,49.0
SonyMusicSouthVEVO,SonyMusicSouthVEVO,16800000,,10200.0,227.0,7.0
Zuni and Family,Zuni and Family,16800000,,9500.0,82.0,0.0
Gulshan Kalra,Gulshan Kalra,16800000,India,9100000.0,626400.0,436.0
Fede Vigevani,Fede Vigevani,16800000,Mexico,3500000.0,261300.0,12300.0
Apple,Apple,16800000,,702600.0,20000.0,0.0
TheBrianMaps,TheBrianMaps,16800000,Russia,1300000.0,195100.0,11800.0
Tu COSMOPOLIS,Tu COSMOPOLIS,16800000,Mexico,75500.0,5900.0,481.0
zbingzbing,zbing z.,16800000,Thailand,452900.0,17000.0,774.0
tanboy kun,tanboy kun,16700000,Indonesia,1400000.0,33600.0,1800.0
Blippi - Educational Videos for Kids,Blippi - Educational Videos for Kids,16600000,,869500.0,3000.0,0.0
jquintanac5,DeToxoMoroxo,16600000,Mexico,194300.0,14800.0,3600.0
queenofficial,Queen Official,16600000,United States,162800.0,16500.0,1100.0
